DATE,COMT,FTGC,TIP,EMB,CBON
2/01/2018,36.6,20.79,113.8,116.4,22.83
3/01/2018,36.83,20.89,113.91,116.35,22.83
4/01/2018,36.9,20.93,113.94,116.65,22.83
5/01/2018,36.86,20.82,113.92,116.72,22.934
8/01/2018,36.91,20.8,113.8,116.51,22.938
9/01/2018,37.23,20.84,113.43,116.15,22.89
10/01/2018,37.27,20.85,113.39,115.81,22.84
11/01/2018,37.46,20.82,113.27,115.96,22.925
12/01/2018,37.7,20.9499,113.38,116.13,23
15/01/2018,37.7,20.9499,113.38,116.13,23
16/01/2018,37.47,20.84,113.57,116.14,23.04
17/01/2018,37.42,20.87,113.49,116.17,23.09
18/01/2018,37.46,20.87,113.39,115.9,23.13
19/01/2018,37.54,20.8524,113.2,115.57,23.22
22/01/2018,37.71,20.95,113.14,115.59,23.2238
23/01/2018,37.96,20.9749,113.31,115.81,23.26
24/01/2018,38.3,21.25,113.23,115.64,23.361
25/01/2018,38.11,21.12,113.44,115.8,23.6
26/01/2018,38.42,21.18,113.37,116.02,23.63
29/01/2018,38.16,21.091,113.1,115.39,23.44
30/01/2018,37.88,20.96,112.83,115.19,23.44
31/01/2018,37.88,21.0232,113.11,115.36,23.64
1/02/2018,38.105,21.17,112.51,115,23.62
2/02/2018,37.42,20.889,112.37,114.11,23.525
5/02/2018,36.73,20.76,112.79,113.46,23.51
6/02/2018,36.71,20.75,112.33,113.67,23.7204
7/02/2018,36.28,20.425,112.08,113.47,23.7
8/02/2018,35.63,20.331,111.85,112.19,23.3529
9/02/2018,35.16,20.2027,111.5,111.86,23.3701
12/02/2018,35.44,20.25,111.58,112.04,23.3701
13/02/2018,35.55,20.39,111.66,111.63,23.575
14/02/2018,36.16,20.72,111.56,111.38,23.66
15/02/2018,36.34,20.815,111.62,112.11,23.69
16/02/2018,36.45,20.77,111.8,112.85,23.69
19/02/2018,36.45,20.77,111.8,112.85,23.69
20/02/2018,36.43,20.78,111.71,112.11,23.77
21/02/2018,36.31,20.78,111.39,111.72,23.77
22/02/2018,36.75,20.9,111.49,111.84,23.6258
23/02/2018,37.21,21.01,111.9,112.68,23.6258
26/02/2018,37.39,21.12,112.04,112.99,23.74
27/02/2018,37.01,20.95,111.76,112.78,23.69
28/02/2018,36.41,20.76,111.92,112.54,23.69
1/03/2018,36.34,20.78,112.26,111.79,23.54
2/03/2018,36.32,20.78,112.17,112.17,23.5537
5/03/2018,36.78,20.92,112.1,112,23.5537
6/03/2018,36.86,20.97,112.07,112.17,23.615
7/03/2018,36.48,20.79,112.07,112.05,23.6401
8/03/2018,36.3,20.7,112.18,112.06,23.6401
9/03/2018,36.71,20.76,112.01,112.28,23.6034
12/03/2018,36.61,20.74,112.09,112.26,23.7248
13/03/2018,36.54,20.75,112.18,112.08,23.7248
14/03/2018,36.53,20.7336,112.37,112.33,23.795
15/03/2018,36.4,20.6999,112.38,112.24,23.705
16/03/2018,36.68,20.71,112.19,112.23,23.7
19/03/2018,36.35,20.5104,112.12,111.76,23.65
20/03/2018,36.59,20.59,111.95,111.53,23.63
21/03/2018,37.22,20.84,112.19,111.87,23.658
22/03/2018,36.56,20.6932,112.52,111.54,23.67
23/03/2018,36.75,20.83,112.58,111.09,23.63
26/03/2018,36.87,20.823,112.38,111.76,23.9771
27/03/2018,36.75,20.74,112.81,111.93,24.01
28/03/2018,36.58,20.6782,112.81,112.22,23.985
29/03/2018,36.92,20.87,113.05,112.82,23.98
30/03/2018,36.92,20.87,113.05,112.82,23.98
2/04/2018,36.23,20.75,112.87,112.23,23.855
3/04/2018,36.56,20.74,112.8,112.31,23.855
4/04/2018,36.52,20.63,112.74,112.44,23.855
5/04/2018,36.82,20.777,112.42,112.4,23.98
6/04/2018,36.3,20.6799,112.87,112.57,23.98
9/04/2018,36.79,20.8569,112.85,112.46,23.8752
10/04/2018,37.52,21.06,112.8,112.28,23.9652
11/04/2018,37.79,21.116,113.13,112.32,24.0698
12/04/2018,37.84,21.0979,112.95,112.32,24.06
13/04/2018,37.975,21.14,113.11,112.41,24.06
16/04/2018,37.75,21.13,113.01,112.27,24.0828
17/04/2018,37.83,21.125,113.18,112.03,24.0828
18/04/2018,38.57,21.48,112.95,112.03,24.0828
19/04/2018,38.37,21.4,112.77,111.64,24.24
20/04/2018,38.34,21.32,112.38,111.15,24.24
23/04/2018,38.45,21.29,112.35,110.88,24.24
24/04/2018,38.13,21.2,112.04,110.71,24.13
25/04/2018,38.25,21.27,111.87,110.31,24.08
26/04/2018,38.39,21.31,112.16,110.4,24.0436
27/04/2018,38.36,21.33,112.52,110.49,23.99
30/04/2018,38.41,21.3,112.61,110.14,23.99
1/05/2018,38.16,21.31,111.79,109.53,23.99
2/05/2018,38.13,21.2467,111.93,108.66,23.848
3/05/2018,38.35,21.4,112.07,108.54,23.848
4/05/2018,38.66,21.44,112.1,108.63,23.78
7/05/2018,38.75,21.37,112.12,108.18,23.836
8/05/2018,38.85,21.39,111.92,107.54,23.836
9/05/2018,39.3,21.44,111.85,107.35,23.849
10/05/2018,39.55,21.53,112.07,108.71,23.885
11/05/2018,39.44,21.49,112.07,109.17,23.885
14/05/2018,39.71,21.55,111.79,108.98,23.81
15/05/2018,39.66,21.38,111.43,108.23,23.81
16/05/2018,39.92,21.47,111.27,108.46,23.8248
17/05/2018,39.96,21.5,111.06,108.03,23.8248
18/05/2018,39.98,21.56,111.36,107.91,23.86
21/05/2018,40.34,21.73,111.4,107.93,23.86
22/05/2018,40.3,21.74,111.35,108.35,23.86
23/05/2018,40.375,21.78,111.67,109.02,23.86
24/05/2018,40.04,21.79,111.8,109.35,23.86
25/05/2018,39.41,21.7,111.96,109.62,23.83
28/05/2018,39.41,21.7,111.96,109.62,23.83
29/05/2018,38.9,21.55,112.62,109.32,23.83
30/05/2018,39.51,21.73,112.41,109.29,23.6758
31/05/2018,39.28,21.67,112.48,108.84,23.6758
1/06/2018,39.04,21.6,111.98,108,23.5494
4/06/2018,38.69,21.31,111.75,107.96,23.5494
5/06/2018,38.8,21.29,112,108.13,23.69
6/06/2018,39.1,21.39,111.76,107.89,23.7
7/06/2018,39.3,21.39,112.1,107.59,23.77
8/06/2018,39.24,21.5,111.91,107.69,23.77
11/06/2018,39.18,21.42,111.91,107.48,23.77
12/06/2018,39.21,21.47,111.82,107.03,23.77
13/06/2018,39.25,21.47,111.75,106.69,23.6001
14/06/2018,38.96,21.25,112.04,106.56,23.6001
15/06/2018,38.06,20.86,112.08,106.78,23.6001
18/06/2018,38.41,20.9,112.17,106.21,23.48
19/06/2018,37.96,20.66,112.35,106.18,23.2798
20/06/2018,37.94,20.65,112.04,106.41,23.333
21/06/2018,37.625,20.5128,112.24,106.8,23.3066
22/06/2018,38.45,20.76,112.4,107.4,23.3066
25/06/2018,38.01,20.47,112.45,106.91,23.135
26/06/2018,38.3,20.55,112.61,106.76,22.99
27/06/2018,38.525,20.55,112.98,106.55,22.902
28/06/2018,38.48,20.53,112.83,106.76,22.84
29/06/2018,39.06,20.69,112.87,106.77,22.9
2/07/2018,38.32,20.43,112.48,106.32,22.7271
3/07/2018,38.34,20.3664,112.72,106.66,22.7271
4/07/2018,38.34,20.3664,112.72,106.66,22.7271
5/07/2018,38.59,20.32,112.85,107.34,22.86
6/07/2018,38.65,20.44,113.01,108.26,22.86
9/07/2018,38.985,20.47,112.78,108.56,22.92
10/07/2018,39.15,20.4332,112.61,108.75,22.93
11/07/2018,37.99,19.93,112.73,108.3,22.7782
12/07/2018,38.15,20.01,112.64,108.51,22.7782
13/07/2018,38.21,19.956,112.86,109.07,22.721
16/07/2018,37.625,19.8,112.56,108.79,22.721
17/07/2018,37.51,19.78,112.41,108.78,22.7
18/07/2018,37.88,19.82,112.23,108.68,22.68
19/07/2018,37.7,19.76,112.39,108.66,22.49
20/07/2018,37.84,19.86,112.12,108.56,22.49
23/07/2018,37.97,19.84,111.59,108.42,22.44
24/07/2018,38.16,19.91,111.65,108.32,22.4502
25/07/2018,38.62,20.11,111.67,109.29,22.63
26/07/2018,38.69,20.03,111.56,109.38,22.64
27/07/2018,38.56,20,111.73,109.57,22.64
30/07/2018,38.83,20.06,111.67,109.26,22.4511
31/07/2018,38.67,20.07,111.84,109.06,22.53
1/08/2018,38.27,19.77,111.1,108.16,22.53
2/08/2018,38.28,19.84,111.16,108.07,22.53
3/08/2018,38.39,19.95,111.38,108.31,22.3948
6/08/2018,38.52,19.96,111.4,108.13,22.575
7/08/2018,38.57,19.99,111.25,107.97,22.5
8/08/2018,38.23,19.93,111.26,107.97,22.38
9/08/2018,38.04,19.88,111.52,107.59,22.57
10/08/2018,37.96,19.74,111.88,106.37,22.57
13/08/2018,37.74,19.58,111.86,105.9,22.27
14/08/2018,37.79,19.6,111.72,106.59,22.2
15/08/2018,36.85,19.18,111.94,106.37,22.11
16/08/2018,37.1,19.35,111.87,106.59,22.062
17/08/2018,37.39,19.54,111.92,107.02,22.45
20/08/2018,37.56,19.49,112.14,106.88,22.38
21/08/2018,37.61,19.5,112.07,107.18,22.36
22/08/2018,37.9,19.53,112.31,107.65,22.32
23/08/2018,37.68,19.4,112.4,107.12,22.22
24/08/2018,38.08,19.55,112.51,107.4,22.46
27/08/2018,38.23,19.62,112.34,107.54,22.74
28/08/2018,38.14,19.48,112.12,107.34,22.74
29/08/2018,38.37,19.6,112.12,107.02,22.5252
30/08/2018,38.2,19.46,112.22,106.43,22.5252
31/08/2018,38.18,19.54,112.09,106.1,22.4
3/09/2018,38.18,19.54,112.09,106.1,22.4
4/09/2018,37.97,19.37,111.55,105.34,22.3997
5/09/2018,37.824,19.37,111.44,105.41,22.3997
6/09/2018,37.62,19.33,111.54,105.88,22.3997
7/09/2018,37.65,19.32,111.22,105.6,22.35
10/09/2018,37.57,19.44,111.25,105.4,22.35
11/09/2018,37.83,19.38,111.02,105.2,22.1913
12/09/2018,38.2,19.57,111.12,105.54,22.23
13/09/2018,37.89,19.425,110.96,106.57,22.3
14/09/2018,37.975,19.29,110.76,106.69,22.3
17/09/2018,37.95,19.29,110.78,106.36,22.3
18/09/2018,38.23,19.43,110.55,106.03,22.3
19/09/2018,38.38,19.535,110.43,106.41,22.3
20/09/2018,38.44,19.59,110.58,107.01,22.42
21/09/2018,38.59,19.65,110.59,107.24,22.32
24/09/2018,38.95,19.77,110.48,107.13,22.32
25/09/2018,39.03,19.815,110.44,107.21,22.3
26/09/2018,38.73,19.73,110.63,107.7,22.3
27/09/2018,38.7501,19.73,110.67,108.08,22.289
28/09/2018,38.93,19.84,110.62,107.81,22.289
1/10/2018,39.52,20.05,110.19,107.36,22.289
2/10/2018,39.66,20.185,110.37,107.47,22.289
3/10/2018,39.93,20.24,109.84,106.91,22.289
4/10/2018,39.62,20.06,109.57,106.16,22.289
5/10/2018,39.5071,20.12,109.27,105.84,22.289
8/10/2018,39.415,20.13,109.22,105.81,22.289
9/10/2018,39.56,20.23,109.53,105.85,22.1933
10/10/2018,38.8,19.93,109.42,105.41,22.1933
11/10/2018,38.22,19.85,109.6,105.57,22.1767
12/10/2018,38.44,20.01,109.43,105.81,22.1767
15/10/2018,38.64,20.16,109.5,105.83,22.24
16/10/2018,38.83,20.17,109.51,106.23,22.2596
17/10/2018,38.53,20.1,109.25,105.98,22.2596
18/10/2018,38.13,19.86,109.17,105.58,22.2596
19/10/2018,38.24,19.89,109.07,105.46,22.09
22/10/2018,38.21,19.91,109.01,105.35,22.09
23/10/2018,37.54,19.77,109.04,105.38,22.0726
24/10/2018,37.2,19.68,109.4,104.97,22.0726
25/10/2018,37.23,19.66,108.94,105.3,22.0726
26/10/2018,37.42,19.8103,109.49,105.44,22.0726
29/10/2018,37.12,19.61,109.38,104.99,22.0726
30/10/2018,37.06,19.52,109.09,105.1,22.0726
31/10/2018,37.05,19.37,108.84,104.66,22.0894
1/11/2018,37.155,19.49,108.61,104.7,22.0894
2/11/2018,37.19,19.5287,108.28,104.58,22.0894
5/11/2018,37.23,19.45,108.48,104.83,22.0894
6/11/2018,37.16,19.36,108.44,104.7,22.0894
7/11/2018,37.49,19.38,108.52,104.95,22.0894
8/11/2018,37.1426,19.28,108.37,104.56,22.0894
9/11/2018,36.83,19.12,108.63,104.61,22.0894
12/11/2018,36.5041,19.015,108.86,104.23,22.0894
13/11/2018,35.84,18.87,108.77,104.1,22.0894
14/11/2018,36.04,19.22,108.78,104.3,22.247
15/11/2018,36.01,18.99,108.87,103.87,22.2338
16/11/2018,36.18,19.24,109.32,104.025,22.35
19/11/2018,36.04,19.25,109.27,103.66,22.35
20/11/2018,35.1,18.85,109.11,102.82,22.2505
21/11/2018,35.51,18.92,109.06,103.29,22.2505
22/11/2018,35.51,18.92,109.06,103.29,22.2505
23/11/2018,34.89,18.61,108.89,102.93,22.2505
26/11/2018,34.97,18.52,108.77,103.08,22.2505
27/11/2018,34.84,18.48,108.48,102.36,22.2505
28/11/2018,35.2,18.615,108.61,103.64,22.2505
29/11/2018,35.23,18.63,109.25,103.46,22.24
30/11/2018,35.1,18.62,109.27,103.69,22.24
3/12/2018,35.79,18.88,109.32,103.96,22.508
4/12/2018,35.44,18.9,109.65,103.66,22.508
5/12/2018,35.44,18.9,109.65,103.66,22.508
6/12/2018,35.19,18.77,109.66,103.97,22.38
7/12/2018,35.08,18.95,109.82,104.07,22.38
10/12/2018,34.67,18.74,109.55,104.07,22.355
11/12/2018,34.78,18.795,109.11,104.14,22.3925
12/12/2018,34.88,18.75,108.95,104.33,22.455
13/12/2018,35.14,18.87,108.97,104.63,22.47
14/12/2018,34.7,18.65,109.05,104.65,22.375
17/12/2018,34.33,18.53,109.24,104.79,22.405
18/12/2018,30.86,18.21,109.34,103.61,22.375
19/12/2018,30.82,18.22,109.53,103.47,22.34
20/12/2018,30.23,18.15,109.22,103.28,22.43
21/12/2018,30.21,17.96,109.17,102.95,22.36
24/12/2018,29.85,17.95,109.33,102.9,22.425
25/12/2018,29.85,17.95,109.33,102.9,22.425
26/12/2018,30.69,18.16,109.11,103.05,22.47
27/12/2018,30.41,17.99,109.11,103.48,22.435
28/12/2018,30.35,17.96,109.43,103.55,22.425
31/12/2018,30.49,17.93,109.51,103.91,22.385
1/01/2019,30.49,17.93,109.51,103.91,22.385
2/01/2019,30.66,17.98,109.68,103.91,22.485
3/01/2019,30.56,18.1,110.32,104.35,22.46
4/01/2019,31.24,18.2,110.09,105.14,22.49
7/01/2019,31.39,18.32,110.02,105.59,22.57
8/01/2019,31.67,18.42,110.11,105.51,22.61
9/01/2019,32.03,18.6,110.24,105.7,22.725
10/01/2019,32.01,18.5,109.98,105.51,22.865
11/01/2019,31.81,18.52,110.27,105.52,22.885
14/01/2019,31.6,18.39,110.07,105.4,22.915
15/01/2019,31.68,18.45,109.97,105.76,22.86
16/01/2019,31.83,18.5,109.96,105.85,22.855
17/01/2019,31.93,18.61,109.87,106.21,22.86
18/01/2019,32.25,18.64,109.74,106.72,22.805
21/01/2019,32.25,18.64,109.74,106.72,22.805
22/01/2019,31.99,18.55,109.81,106.75,22.795
23/01/2019,31.86,18.57,109.68,107.28,22.835
24/01/2019,31.85,18.56,109.85,107.8,22.85
25/01/2019,32.17,18.68,109.68,107.7,22.955
28/01/2019,31.77,18.5759,109.53,107.21,22.985
29/01/2019,32.02,18.66,109.85,107.3,22.97
30/01/2019,32.3,18.74,110.45,108.06,23.085
31/01/2019,32.19,18.69,111.07,108.88,23.145
1/02/2019,32.48,18.76,110.68,108.59,22.975
4/02/2019,32.62,18.83,110.46,108.22,22.885
5/02/2019,32.555,18.79,110.61,108.94,22.935
6/02/2019,32.52,18.765,110.54,108.38,22.87
7/02/2019,32.17,18.67,110.71,108.18,22.87
8/02/2019,32.11,18.67,110.76,107.7,22.835
11/02/2019,32.06,18.57,110.53,107.45,22.8
12/02/2019,32.29,18.63,110.55,107.85,22.81
13/02/2019,32.45,18.61,110.53,107.86,22.875
14/02/2019,32.4884,18.65,110.84,108.14,22.87
15/02/2019,32.85,18.88,110.84,108.23,22.925
18/02/2019,32.85,18.88,110.84,108.23,22.925
19/02/2019,32.91,18.91,111.1,108.16,22.94
20/02/2019,33.11,18.96,111.14,108.17,23.085
21/02/2019,33.06,18.93,110.95,108.1,23.145
22/02/2019,33.2,19,111.24,108.77,23.095
25/02/2019,32.95,18.84,111.16,108.59,23.18
26/02/2019,32.93,18.84,111.32,108.91,23.19
27/02/2019,33.08,18.89,111.06,108.94,23.19
28/02/2019,32.84,18.84,110.88,108.87,23.21
1/03/2019,32.74,18.71,110.66,108.04,23.015
4/03/2019,32.92,18.66,110.82,107.98,23.04
5/03/2019,32.94,18.75,110.78,108.03,22.99
6/03/2019,32.75,18.69,110.91,107.94,23.005
7/03/2019,32.58,18.6,111.22,107.69,22.94
8/03/2019,32.47,18.6,111.32,107.99,22.925
11/03/2019,32.68,18.57,111.3,108.39,23.005
12/03/2019,32.81,18.71,111.51,108.73,23.035
13/03/2019,33.155,18.83,111.64,108.76,23.04
14/03/2019,32.97,18.73,111.61,108.6,23.015
15/03/2019,33.16,18.79,112,109.04,23.005
18/03/2019,33.24,18.81,111.99,109.14,23.025
19/03/2019,33.34,18.89,111.89,109.22,22.99
20/03/2019,33.46,19,112.63,110.19,23.17
21/03/2019,33.51,18.97,112.62,110.16,23.175
22/03/2019,33.07,18.86,112.96,109.43,23.0503
25/03/2019,33.12,18.92,112.93,110.04,23.075
26/03/2019,33.22,18.9,112.73,110.14,23.08
27/03/2019,33.14,18.82,112.78,109.73,23.096
28/03/2019,33.12,18.74,112.87,109.96,23.01
29/03/2019,33.07,18.73,113.07,110.06,23.1028
1/04/2019,33.38,18.8,112.65,109.8,23.075
2/04/2019,33.49,18.89,112.76,109.87,23.02
3/04/2019,33.48,18.96,112.41,109.62,23.02
4/04/2019,33.63,19.02,112.49,109.59,23.035
5/04/2019,33.74,19.02,112.62,110.02,23.05
8/04/2019,33.83,19.11,112.51,109.58,23.085
9/04/2019,33.68,19.06,112.62,109.65,23.079
10/04/2019,33.87,19.15,113.03,109.87,23.07
11/04/2019,33.65,19,112.77,109.47,22.98
12/04/2019,33.86,19.1,112.56,109.46,23.015
15/04/2019,33.82,19.03,112.62,109.53,23.11
16/04/2019,33.77,18.97,112.36,109.32,23.015
17/04/2019,33.78,18.86,112.34,109.42,23.03
18/04/2019,33.7808,18.9067,112.66,109.51,23.02
19/04/2019,33.7808,18.9067,112.66,109.51,23.02
22/04/2019,33.92,18.93,112.55,109.43,22.99
23/04/2019,33.92,18.87,112.81,109.76,22.985
24/04/2019,33.65,18.83,113.2,109.45,22.81
25/04/2019,33.4786,18.77,113.2,109.6,22.8
26/04/2019,33.1511,18.68,113.45,109.53,22.805
29/04/2019,33.15,18.62,113.13,109.64,22.845
30/04/2019,33.16,18.64,113.32,109.8,22.84
1/05/2019,33.01,18.54,113.04,109.32,22.88
2/05/2019,32.62,18.45,112.58,109.15,22.86
3/05/2019,32.78,18.49,112.89,109.77,22.845
6/05/2019,32.71,18.47,113.06,109.75,22.77
7/05/2019,32.32,18.27,113.12,109.17,22.74
8/05/2019,32.37,18.25,112.83,109.29,22.585
9/05/2019,32.185,18.2,113.02,108.96,22.52
10/05/2019,32.2394,18.22,113.27,109.33,22.49
13/05/2019,31.88,18.11,113.51,108.45,22.265
14/05/2019,32.27,18.28,113.59,108.79,22.345
15/05/2019,32.42,18.38,113.82,109.19,22.3649
16/05/2019,32.67,18.51,113.64,109.21,22.33
17/05/2019,32.43,18.37,113.53,108.96,22.29
20/05/2019,32.5,18.43,113.38,109.45,22.275
21/05/2019,32.65,18.44,113.44,109.58,22.335
22/05/2019,32.31,18.27,113.48,109.52,22.345
23/05/2019,31.57,18.1,113.72,109.37,22.34
24/05/2019,32.01,18.27,113.91,109.48,22.37
27/05/2019,32.01,18.27,113.91,109.48,22.37
28/05/2019,32.14,18.36,113.97,109.62,22.43
